'local_id','type','description'
'84110','header','Product Description'
'58612','header','Product Description'
'74613','header','Product Description'
'98769','header','Product Description'
'76439','header','Product Description'
'102428','header','Product Description'
'76443','header','Product Description'
'93788','header','Product Description'
'85242','header','Product Description'
'59257','header','Product Description'
'59258','header','Product Description'
'84109','header','Product Description'
'43152','header','Product Description'
'100854','header','Product Description'
'43151','header','Product Description'
'99768','header','Product Description'
'65920','header','Product Description'
'92993','header','Product Description'
